x,y,theta,x_dot,y_dot,theta_dot
-1.9722,3.35,0,0.5,0,0
-1.96665,3.35,0,0.5,0,0
-1.9611,3.35,0,0.5,0,0
-1.95555,3.35,0,0.5,0,0
-1.95,3.35,1.571,0,0.5,0
-1.95,3.34445,1.571,0,0.5,0
-1.95,3.33889999999999,1.571,0,0.5,0
-1.95,3.33335,1.571,0,0.5,0
-1.95,3.3278,1.571,0,0.5,0
-1.95,3.3222,1.571,0,0.5,0
-1.95,3.31665,1.571,0,0.5,0
-1.95,3.3111,1.571,0,0.5,0
-1.95,3.30554999999999,1.571,0,0.5,0
-1.95,3.3,0,0.5,0,0
-1.94444999999999,3.3,0,0.5,0,0
-1.9389,3.3,0,0.5,0,0
-1.93335,3.3,0,0.5,0,0
-1.9278,3.3,0,0.5,0,0
-1.9222,3.3,0,0.5,0,0
-1.91665,3.3,0,0.5,0,0
-1.9111,3.3,0,0.5,0,0
-1.90555,3.3,0,0.5,0,0
-1.9,3.3,0,0.5,0,0
-1.89445,3.3,0,0.5,0,0
-1.8889,3.3,0,0.5,0,0
-1.88335,3.3,0,0.5,0,0
-1.8778,3.3,0,0.5,0,0
-1.8722,3.3,0,0.5,0,0
-1.86665,3.3,0,0.5,0,0
-1.8611,3.3,0,0.5,0,0
-1.85555,3.3,0,0.5,0,0
-1.85,3.3,0,0.5,0,0
-1.84445,3.3,0,0.5,0,0
-1.8389,3.3,0,0.5,0,0
-1.83335,3.3,0,0.5,0,0
-1.82779999999999,3.3,0,0.5,0,0
-1.8222,3.3,0,0.5,0,0
-1.81665,3.3,0,0.5,0,0
-1.8111,3.3,0,0.5,0,0
-1.80555,3.3,0,0.5,0,0
-1.8,3.3,0,0.5,0,0
-1.79445,3.3,0,0.5,0,0
-1.7889,3.3,0,0.5,0,0
-1.78335,3.3,0,0.5,0,0
-1.7778,3.3,0,0.5,0,0
-1.7722,3.3,0,0.5,0,0
-1.76665,3.3,0,0.5,0,0
-1.7611,3.3,0,0.5,0,0
-1.75555,3.3,0,0.5,0,0
-1.75,3.3,0,0.5,0,0
-1.74445,3.3,0,0.5,0,0
-1.7389,3.3,0,0.5,0,0
